product_id,product_name,traffic_cnt,click_cnt,conversion_rate,content_interact_cnt,new_user_cnt,service_rating,sales_amount,sales_cnt,visitor_cnt,stat_date,etl_time
P28104772,服装鞋帽_款式63,9839,2906,0.0619,326,1000,4.2,8088259.35,7405,6246,2025-07-10,2025-07-31 10:30:30.558925
P93573844,美妆个护_款式64,525,149,0.0831,486,127,4.9,255267.04,56,405,2025-07-02,2025-07-31 10:30:30.558925
P17263458,家居用品_款式65,2013,756,0.0834,284,947,4.3,3617964.46,1201,1506,2025-07-12,2025-07-31 10:30:30.558925
P30882294,食品饮料_款式66,4320,1865,0.2404,397,1877,4.5,13080480.0,3000,3515,2025-07-15,2025-07-31 10:30:30.558925
P28220013,家居用品_款式67,6692,1828,0.2121,44,1087,3.7,3565663.75,1375,5703,2025-07-17,2025-07-31 10:30:30.558925
P12433411,服装鞋帽_款式68,8117,3754,0.1019,382,2538,5.0,11677941.72,2943,6753,2025-07-06,2025-07-31 10:30:30.558925
P56691051,美妆个护_款式69,8875,3373,0.1547,396,3921,5.0,475954.44,1781,5929,2025-07-04,2025-07-31 10:30:30.558925
P60377822,服装鞋帽_款式70,5814,2487,0.2462,375,2059,4.1,18193575.24,4569,3550,2025-07-22,2025-07-31 10:30:30.558925
P13986373,食品饮料_款式71,9564,2422,0.059,267,2047,4.7,12859186.86,5679,5948,2025-07-03,2025-07-31 10:30:30.558925
P79328664,电子产品_款式72,5024,574,0.2368,70,1478,4.3,2995345.15,2779,3644,2025-07-28,2025-07-31 10:30:30.558925
P47344519,电子产品_款式73,1589,340,0.1497,284,189,4.3,1866297.18,473,1191,2025-07-28,2025-07-31 10:30:30.558925
P64268480,家居用品_款式74,5858,1943,0.2732,438,2296,3.2,17422176.44,4178,3819,2025-07-20,2025-07-31 10:30:30.558925
P89509648,电子产品_款式75,9887,1366,0.2453,399,2555,4.9,274845.72,1758,6368,2025-07-14,2025-07-31 10:30:30.558925
P27441850,服装鞋帽_款式76,3739,1286,0.1247,413,1421,4.0,8451502.74,2754,2514,2025-07-20,2025-07-31 10:30:30.558925
P90933291,美妆个护_款式77,5973,1176,0.2357,126,829,3.1,5756103.61,1921,5265,2025-07-20,2025-07-31 10:30:30.558925
P06284232,美妆个护_款式78,6591,2182,0.0121,193,3107,4.8,14951149.07,5291,4703,2025-07-05,2025-07-31 10:30:30.558925
P12184487,美妆个护_款式79,2028,932,0.2711,499,789,3.5,539841.35,215,1616,2025-07-18,2025-07-31 10:30:30.558925
P80957042,美妆个护_款式80,7308,2749,0.1145,404,1047,3.8,3128594.0,1720,6419,2025-07-19,2025-07-31 10:30:30.558925
P93691558,家居用品_款式81,4914,1431,0.0988,381,1568,4.3,6451714.5,2490,4047,2025-07-22,2025-07-31 10:30:30.558925
P43391936,美妆个护_款式82,809,176,0.1071,377,231,4.6,792786.4,665,547,2025-07-10,2025-07-31 10:30:30.558925
P39561350,家居用品_款式83,4354,1919,0.0784,338,1140,3.3,8005079.04,3136,3141,2025-07-15,2025-07-31 10:30:30.558925
P77715158,食品饮料_款式84,4997,1452,0.0309,55,764,4.3,60765.7,733,3743,2025-07-14,2025-07-31 10:30:30.558925
P37408247,家居用品_款式85,9106,2760,0.0611,294,2025,3.1,2011749.9,669,6846,2025-07-29,2025-07-31 10:30:30.558925
P11223097,电子产品_款式86,1194,152,0.2242,431,501,4.3,1160977.44,1162,783,2025-07-08,2025-07-31 10:30:30.558925
P23275896,家居用品_款式87,8087,2203,0.0457,19,3585,4.0,8958634.52,2332,5410,2025-07-20,2025-07-31 10:30:30.558925
P91300680,美妆个护_款式88,6637,1259,0.1857,294,2458,4.3,10410202.88,4928,5316,2025-07-06,2025-07-31 10:30:30.558925
P75805127,家居用品_款式89,2490,1213,0.2055,236,990,3.0,1204736.0,512,2067,2025-07-03,2025-07-31 10:30:30.558925
P70684660,家居用品_款式90,8340,2805,0.2309,453,1235,4.1,26274638.3,8170,6132,2025-07-05,2025-07-31 10:30:30.558925
P40252018,家居用品_款式91,4149,1240,0.183,103,1848,3.2,1981025.12,2942,2846,2025-07-12,2025-07-31 10:30:30.558925
P01222722,服装鞋帽_款式92,7624,876,0.2429,87,2131,3.4,24786654.3,7435,6860,2025-07-26,2025-07-31 10:30:30.558925
P29429473,电子产品_款式93,2824,667,0.1042,166,363,4.5,9777685.2,2680,2503,2025-07-07,2025-07-31 10:30:30.558925
P75709436,服装鞋帽_款式94,9545,3609,0.2069,15,4205,4.4,15202639.83,8571,8099,2025-07-22,2025-07-31 10:30:30.558925
P03320465,家居用品_款式95,9614,2136,0.2308,191,4581,3.1,13744985.04,2764,6243,2025-07-10,2025-07-31 10:30:30.558925
P93014087,食品饮料_款式96,3745,830,0.2589,16,888,4.4,273891.2,1255,3297,2025-07-22,2025-07-31 10:30:30.558925
P14174843,服装鞋帽_款式97,7840,3560,0.217,397,2110,3.1,22078326.82,4642,6591,2025-07-22,2025-07-31 10:30:30.558925
P28820419,美妆个护_款式98,1203,384,0.2998,252,584,4.5,1866007.8,639,762,2025-07-01,2025-07-31 10:30:30.558925
P01218849,食品饮料_款式99,7067,2451,0.0389,491,1680,3.4,6440912.8,1960,5679,2025-07-13,2025-07-31 10:30:30.558925
P09014815,服装鞋帽_款式100,3949,433,0.0907,33,1879,3.8,12893492.01,2681,2803,2025-07-16,2025-07-31 10:30:30.558925
P65210372,电子产品_款式101,2620,326,0.0789,404,642,3.9,1106826.88,1376,1695,2025-07-24,2025-07-31 10:30:30.558925
P97437382,美妆个护_款式102,3560,389,0.0677,422,1565,3.7,12003337.64,2887,2480,2025-07-06,2025-07-31 10:30:30.558925
P52487956,美妆个护_款式103,7874,1298,0.2764,438,2838,3.2,13673205.14,3358,4948,2025-07-23,2025-07-31 10:30:30.558925
P93061484,服装鞋帽_款式104,8592,2746,0.2668,115,2353,4.8,5822170.53,1639,6065,2025-07-13,2025-07-31 10:30:30.558925
P68724528,电子产品_款式105,3046,707,0.1064,28,677,4.7,2711864.82,2499,2618,2025-07-04,2025-07-31 10:30:30.558925
P17196763,服装鞋帽_款式106,1688,760,0.1843,197,253,4.4,1489523.4,647,1263,2025-07-20,2025-07-31 10:30:30.558925
P84284983,美妆个护_款式107,9562,4610,0.1034,284,1102,3.4,107294.49,71,8075,2025-07-28,2025-07-31 10:30:30.558925
P83415766,食品饮料_款式108,8667,878,0.2565,58,3200,3.1,4832076.0,5620,5665,2025-07-23,2025-07-31 10:30:30.558925
P86634255,电子产品_款式109,7434,1552,0.1544,429,1628,4.0,2966796.99,2907,4565,2025-07-06,2025-07-31 10:30:30.558925
P29381797,家居用品_款式110,1904,637,0.1228,12,898,4.7,494537.7,159,1521,2025-07-09,2025-07-31 10:30:30.558925
P43524062,美妆个护_款式111,2703,1148,0.0657,363,984,4.3,4285272.6,2438,2361,2025-07-02,2025-07-31 10:30:30.558925
P19688157,家居用品_款式112,683,86,0.0809,216,243,3.2,2757677.45,583,409,2025-07-01,2025-07-31 10:30:30.558925
P17081957,服装鞋帽_款式113,894,120,0.2588,230,330,3.1,1296850.86,414,711,2025-07-25,2025-07-31 10:30:30.558925
P85851671,食品饮料_款式114,8558,2900,0.1127,415,1724,4.1,2644120.37,829,5980,2025-07-03,2025-07-31 10:30:30.558925
P75524829,电子产品_款式115,9217,2433,0.2758,231,2863,3.0,10235585.28,2928,7945,2025-07-06,2025-07-31 10:30:30.558925
P80113483,家居用品_款式116,7116,2069,0.0609,440,2378,4.7,8958843.62,4178,4877,2025-07-21,2025-07-31 10:30:30.558925
P96785385,美妆个护_款式117,8073,832,0.2711,427,2087,4.4,8448157.44,5024,6409,2025-07-14,2025-07-31 10:30:30.558925
P67388875,电子产品_款式118,5367,962,0.2252,458,2195,3.8,2953996.68,1409,4175,2025-07-21,2025-07-31 10:30:30.558925
P59426466,家居用品_款式119,733,194,0.0446,342,84,3.5,647171.2,235,621,2025-07-28,2025-07-31 10:30:30.558925
P56448639,家居用品_款式120,1367,671,0.2065,78,523,3.2,2054731.05,531,845,2025-07-27,2025-07-31 10:30:30.558925
P26375442,食品饮料_款式121,3378,1628,0.2037,188,1501,4.0,15636741.44,3298,2929,2025-07-16,2025-07-31 10:30:30.558925
P35053938,家居用品_款式122,859,253,0.0878,93,309,4.4,278863.2,308,614,2025-07-10,2025-07-31 10:30:30.558925
P84576931,美妆个护_款式123,9040,4268,0.1052,495,4095,5.0,1327612.68,303,7622,2025-07-27,2025-07-31 10:30:30.558925
P30160465,家居用品_款式124,9173,2423,0.2961,87,3174,4.1,20744169.84,5098,6340,2025-07-08,2025-07-31 10:30:30.558925
P64477918,服装鞋帽_款式125,8877,4274,0.29,311,1465,3.6,432317.12,1312,5432,2025-07-17,2025-07-31 10:30:30.558925
P40198805,服装鞋帽_款式126,5197,2269,0.1424,55,1749,4.7,379905.3,90,3482,2025-07-09,2025-07-31 10:30:30.558925
P85291281,美妆个护_款式127,4047,576,0.0763,376,1527,4.0,156694.08,32,3334,2025-07-11,2025-07-31 10:30:30.558925
P21049872,食品饮料_款式128,3231,1152,0.2651,271,1557,3.8,2525639.44,3007,2740,2025-07-08,2025-07-31 10:30:30.558925
P95573775,电子产品_款式129,2584,506,0.0833,55,284,3.6,256604.4,156,2113,2025-07-23,2025-07-31 10:30:30.558925
P80035750,家居用品_款式130,3810,444,0.2159,244,979,3.7,394208.82,394,3148,2025-07-21,2025-07-31 10:30:30.558925
P21930842,服装鞋帽_款式131,8125,2720,0.0658,330,2971,3.9,20121894.18,4482,6762,2025-07-15,2025-07-31 10:30:30.558925
P69335463,美妆个护_款式132,6734,2887,0.117,45,2891,4.8,836822.43,327,5459,2025-07-24,2025-07-31 10:30:30.558925
P01131191,家居用品_款式133,1742,786,0.2238,308,709,4.7,4541357.58,1361,1537,2025-07-03,2025-07-31 10:30:30.558925
P00171263,美妆个护_款式134,6844,809,0.1655,204,1649,4.2,9576903.45,2755,4174,2025-07-20,2025-07-31 10:30:30.558925
P22715850,电子产品_款式135,7945,2971,0.1586,116,3350,4.0,1980400.56,892,6325,2025-07-08,2025-07-31 10:30:30.558925
P34963443,电子产品_款式136,8584,1239,0.0622,328,2739,4.3,1051603.0,850,6196,2025-07-21,2025-07-31 10:30:30.558925
P66080727,家居用品_款式137,1015,428,0.1083,325,479,3.6,692868.66,629,902,2025-07-20,2025-07-31 10:30:30.558925
P24325015,电子产品_款式138,7117,893,0.053,96,1430,4.7,9330003.93,2067,6241,2025-07-26,2025-07-31 10:30:30.558925
P59399443,食品饮料_款式139,8321,3333,0.1538,254,2636,4.9,530558.6,5708,7359,2025-07-14,2025-07-31 10:30:30.558925
P96210109,食品饮料_款式140,7899,1660,0.0663,224,1831,3.4,9670380.8,3088,5350,2025-07-12,2025-07-31 10:30:30.558925
P85005445,家居用品_款式141,9761,1258,0.2101,94,4165,4.7,25880882.58,5558,6784,2025-07-25,2025-07-31 10:30:30.559925
P24398325,家居用品_款式142,4003,1343,0.126,412,887,3.9,3350251.14,1713,2488,2025-07-08,2025-07-31 10:30:30.559925
P58912317,家居用品_款式143,668,230,0.2956,88,87,4.0,924211.8,204,592,2025-07-09,2025-07-31 10:30:30.559925
P69213034,服装鞋帽_款式144,9638,3367,0.1794,425,1153,4.3,17092931.1,9210,8087,2025-07-23,2025-07-31 10:30:30.559925
P92024121,美妆个护_款式145,7864,2882,0.2478,469,1680,4.9,29511486.27,7819,6671,2025-07-22,2025-07-31 10:30:30.559925
P21643699,美妆个护_款式146,2289,448,0.2491,24,648,3.5,4020970.4,1840,1828,2025-07-24,2025-07-31 10:30:30.559925
P78368953,服装鞋帽_款式147,8821,4126,0.1865,21,1836,4.7,12592188.96,3403,7896,2025-07-18,2025-07-31 10:30:30.559925
P25398653,电子产品_款式148,8368,1862,0.1989,330,1261,4.3,12241341.98,5474,5241,2025-07-18,2025-07-31 10:30:30.559925
P60663549,服装鞋帽_款式149,7775,1151,0.2375,325,1513,5.0,14563669.86,4674,5222,2025-07-17,2025-07-31 10:30:30.559925
P23367736,家居用品_款式150,4661,922,0.2802,464,1123,4.3,7093262.4,3192,2906,2025-07-08,2025-07-31 10:30:30.559925
P99427701,美妆个护_款式151,6558,2204,0.2059,268,668,3.2,1454246.46,1042,4799,2025-07-06,2025-07-31 10:30:30.559925
P80657449,电子产品_款式152,4841,606,0.1902,458,1815,4.2,3949273.2,1580,3046,2025-07-25,2025-07-31 10:30:30.559925
P43083107,食品饮料_款式153,4343,571,0.039,239,1645,4.7,715224.26,394,3304,2025-07-10,2025-07-31 10:30:30.559925
P79231721,电子产品_款式154,6723,2666,0.23,200,923,3.1,2171339.06,6589,5555,2025-07-09,2025-07-31 10:30:30.559925
P48707504,服装鞋帽_款式155,8673,1742,0.1811,162,2410,4.2,17359139.4,5532,5656,2025-07-01,2025-07-31 10:30:30.559925
P15117219,服装鞋帽_款式156,9810,3430,0.0588,469,1094,3.4,676765.26,9693,7492,2025-07-13,2025-07-31 10:30:30.559925
P77031928,家居用品_款式157,8152,1720,0.2566,414,2858,4.4,4155079.6,1064,5354,2025-07-16,2025-07-31 10:30:30.559925
P30367724,美妆个护_款式158,1812,568,0.2037,461,339,3.8,1350796.16,742,1224,2025-07-03,2025-07-31 10:30:30.559925
P60157030,美妆个护_款式159,4990,1484,0.0842,160,867,4.6,1113038.67,233,3182,2025-07-29,2025-07-31 10:30:30.559925
P43490667,食品饮料_款式160,8597,3547,0.2087,63,1561,3.5,7231027.8,6114,7172,2025-07-29,2025-07-31 10:30:30.559925
P77754774,美妆个护_款式161,8664,1488,0.2846,413,3547,3.3,2586298.89,5439,7507,2025-07-21,2025-07-31 10:30:30.559925
P17122030,电子产品_款式162,3527,859,0.2602,102,1352,4.1,761869.68,2054,2717,2025-07-24,2025-07-31 10:30:30.559925
P08829976,电子产品_款式163,7753,2834,0.1797,58,1144,3.4,5736462.72,1383,6481,2025-07-17,2025-07-31 10:30:30.559925
P68128311,美妆个护_款式164,9169,2310,0.0206,72,3977,3.2,29181247.83,7497,5884,2025-07-07,2025-07-31 10:30:30.559925
P02351650,电子产品_款式165,9755,4011,0.2861,331,4016,3.6,6470210.88,6076,8598,2025-07-06,2025-07-31 10:30:30.559925
P41113660,电子产品_款式166,8722,3865,0.197,304,3455,4.0,11356835.76,6632,6457,2025-07-02,2025-07-31 10:30:30.559925
P89794118,家居用品_款式167,3555,422,0.1196,168,1442,3.4,1276060.44,2263,2285,2025-07-25,2025-07-31 10:30:30.559925
P42152319,电子产品_款式168,5036,2443,0.2956,416,1305,4.7,800821.68,438,3579,2025-07-17,2025-07-31 10:30:30.559925
P62823232,美妆个护_款式169,3998,1029,0.1348,472,1339,4.4,17752231.8,3870,2695,2025-07-01,2025-07-31 10:30:30.559925
P60029762,美妆个护_款式170,3234,1444,0.0359,359,1062,4.2,560571.12,2466,2123,2025-07-29,2025-07-31 10:30:30.559925
P87979840,家居用品_款式171,5501,2034,0.0409,347,1186,3.5,7561381.05,4995,3956,2025-07-13,2025-07-31 10:30:30.559925
P28925631,食品饮料_款式172,4450,713,0.1195,253,1649,4.6,7651938.72,1912,3856,2025-07-02,2025-07-31 10:30:30.559925
P39875523,美妆个护_款式173,8376,2847,0.2548,46,1434,4.6,8545057.26,7962,5515,2025-07-15,2025-07-31 10:30:30.559925
P38162914,服装鞋帽_款式174,5744,1910,0.0972,172,1646,3.3,1966968.85,451,4560,2025-07-26,2025-07-31 10:30:30.559925
P04194146,美妆个护_款式175,9453,4008,0.0177,210,1119,4.9,15202098.99,4321,8369,2025-07-19,2025-07-31 10:30:30.559925
P96943922,食品饮料_款式176,1347,346,0.1157,196,451,4.7,4582246.2,987,974,2025-07-06,2025-07-31 10:30:30.559925
P94136877,服装鞋帽_款式177,5380,1757,0.2591,359,1374,4.9,15290796.25,3895,4573,2025-07-22,2025-07-31 10:30:30.559925
P71355431,美妆个护_款式178,3394,1213,0.0331,219,1117,3.8,1569669.5,527,2543,2025-07-28,2025-07-31 10:30:30.559925
P83460419,电子产品_款式179,5843,921,0.0651,69,2392,3.0,7153822.8,2430,4790,2025-07-04,2025-07-31 10:30:30.559925
P01041848,电子产品_款式180,9724,1266,0.1683,206,2265,3.1,5465327.44,6932,8217,2025-07-11,2025-07-31 10:30:30.559925
P85282015,食品饮料_款式181,2777,663,0.2813,308,677,3.7,1649372.36,337,2119,2025-07-11,2025-07-31 10:30:30.559925
P15214619,服装鞋帽_款式182,1822,803,0.1755,39,393,4.5,2451947.68,1456,1407,2025-07-18,2025-07-31 10:30:30.559925
P59315248,电子产品_款式183,9263,1896,0.2548,104,1433,4.8,18680674.1,6215,8030,2025-07-17,2025-07-31 10:30:30.559925
P35037105,电子产品_款式184,8521,3438,0.2687,98,1538,4.1,11232285.57,2607,6577,2025-07-04,2025-07-31 10:30:30.559925
P35217512,食品饮料_款式185,6746,1086,0.0885,185,1559,4.2,13618313.28,4257,4689,2025-07-19,2025-07-31 10:30:30.559925
P19111968,服装鞋帽_款式186,7581,1957,0.1848,459,2983,3.7,12483957.69,6163,5962,2025-07-29,2025-07-31 10:30:30.559925
P41562455,服装鞋帽_款式187,3901,1057,0.1276,399,1406,3.5,3231769.64,1727,3303,2025-07-22,2025-07-31 10:30:30.559925
P15437911,电子产品_款式188,5829,2147,0.1483,341,2865,4.5,9020482.24,2024,3542,2025-07-16,2025-07-31 10:30:30.559925
P16446873,电子产品_款式189,718,342,0.0655,81,122,3.4,508075.2,171,527,2025-07-30,2025-07-31 10:30:30.559925
P01039802,电子产品_款式190,5424,708,0.2525,202,744,4.9,1910264.7,4974,4149,2025-07-14,2025-07-31 10:30:30.559925
P64349955,食品饮料_款式191,2285,1022,0.1846,497,1108,4.9,849453.15,845,1382,2025-07-13,2025-07-31 10:30:30.559925
P36375664,家居用品_款式192,2558,672,0.2438,265,377,4.2,5930054.13,1991,1555,2025-07-20,2025-07-31 10:30:30.559925
P69042197,电子产品_款式193,4758,952,0.1007,498,912,4.2,20101807.15,4555,3794,2025-07-29,2025-07-31 10:30:30.559925
P75425208,家居用品_款式194,8331,3808,0.0921,300,3652,3.7,15678941.46,7358,5143,2025-07-16,2025-07-31 10:30:30.559925
P15984559,美妆个护_款式195,9291,3317,0.2888,244,1674,3.1,1058279.13,489,7282,2025-07-16,2025-07-31 10:30:30.559925
P88578525,食品饮料_款式196,6236,842,0.1134,22,683,4.1,15783370.56,3228,4535,2025-07-26,2025-07-31 10:30:30.559925
P68895298,服装鞋帽_款式197,6920,3180,0.0191,498,774,4.9,2217853.52,1336,5574,2025-07-18,2025-07-31 10:30:30.559925
P78763623,食品饮料_款式198,5222,1153,0.0669,206,1744,4.9,14136048.36,3067,4006,2025-07-23,2025-07-31 10:30:30.559925
P56617166,家居用品_款式199,9349,3710,0.0927,493,2981,5.0,1580884.76,1196,6504,2025-07-02,2025-07-31 10:30:30.559925
P07214808,服装鞋帽_款式200,4059,1687,0.0737,255,1768,4.9,6669864.74,2794,3457,2025-07-28,2025-07-31 10:30:30.559925
P96814783,美妆个护_款式201,3184,804,0.1664,498,1209,3.8,3100116.75,865,2511,2025-07-06,2025-07-31 10:30:30.559925
