product_id,product_name,stat_date,traffic_acquisition_score,traffic_conversion_score,content_marketing_score,customer_acquisition_score,service_quality_score,total_score,level,amount,price,sales_num,visitor_num,visitor_sales_ratio
P00039,玩具特惠款,2025-01-26,58.17,64.97,52.42,71.61,87.64,66.96,C,2323520.06,620.93,3742,39747,10.62
P00040,男装限量款,2025-01-23,6.5,66.4,12.34,56.7,51.25,38.64,D,1256306.49,932.67,1347,19378,14.39
P00041,食品基础款,2025-01-02,62.89,7.21,34.45,71.2,51.52,45.45,D,726299.2,4126.7,176,4834,27.47
P00042,男装特惠款,2025-01-25,3.73,86.5,13.18,33.19,58.94,39.11,D,6746676.3,8237.7,819,11205,13.68
P00043,玩具基础款,2025-01-28,18.52,98.69,41.02,37.98,3.87,40.02,D,636628.14,556.98,1143,12183,10.66
P00044,图书特惠款,2025-01-23,45.81,16.89,65.34,97.27,42.46,53.55,C,12609835.5,3764.13,3350,20529,6.13
P00045,家电升级版,2025-01-12,82.84,4.65,16.69,5.78,80.3,38.05,D,13992790.25,9334.75,1499,22980,15.33
P00046,食品特惠款,2025-01-17,12.35,31.64,40.13,85.8,10.72,36.13,D,2547333.72,8324.62,306,3938,12.87
P00047,家电特惠款,2025-01-08,95.73,29.48,26.83,79.57,41.17,54.56,C,22222252.34,5051.66,4399,50182,11.41
P00048,玩具升级版,2025-01-20,87.01,46.97,62.99,47.41,40.1,56.9,C,15104035.14,7378.62,2047,27701,13.53
P00049,美妆限量款,2025-01-27,81.35,35.61,78.23,34.3,24.5,50.8,C,9762962.58,4854.78,2011,58423,29.05
P00050,图书特惠款,2025-01-25,11.4,50.44,11.77,34.68,90.46,39.75,D,3776358.11,3258.29,1159,23763,20.5
P00051,家居基础款,2025-01-11,14.94,21.97,14.08,52.16,82.16,37.06,D,12295654.26,9907.86,1241,23453,18.9
P00052,图书限量款,2025-01-10,34.66,18.86,17.09,18.33,14.12,20.61,D,11190838.5,4362.9,2565,55973,21.82
P00053,玩具限量款,2025-01-25,7.38,34.9,41.48,12.29,85.96,36.4,D,39125335.23,8474.19,4617,93637,20.28
P00054,食品基础款,2025-01-17,15.87,93.16,3.71,74.14,33.4,44.06,D,10464033.86,7271.74,1439,40605,28.22
P00055,男装特惠款,2025-01-18,48.8,82.58,27.05,9.88,45.55,42.77,D,5666114.61,9273.51,611,15971,26.14
P00056,食品限量款,2025-01-16,40.96,64.21,13.99,42.27,84.76,49.24,D,30537664.92,8123.88,3759,72441,19.27
P00057,食品基础款,2025-01-22,45.25,71.35,55.5,71.02,92.66,67.16,C,2951613.0,621.0,4753,37728,7.94
P00058,女装限量款,2025-01-19,45.89,12.61,14.22,82.06,54.47,41.85,D,1106144.36,407.72,2713,6938,2.56
P00059,美妆基础款,2025-01-10,67.47,33.27,44.97,80.78,70.72,59.44,C,31886853.4,8093.11,3940,5815,1.48
P00060,食品升级版,2025-01-05,47.0,66.48,56.36,61.74,78.92,62.1,C,34438119.1,9022.3,3817,35541,9.31
P00061,食品限量款,2025-01-23,4.01,88.42,76.25,92.52,79.06,68.05,C,2535939.63,6081.39,417,1821,4.37
P00062,食品升级版,2025-01-30,71.39,30.35,59.16,72.42,50.4,56.74,C,22326599.68,5450.83,4096,67826,16.56
P00063,食品限量款,2025-01-18,98.99,42.72,97.1,60.81,18.49,63.62,C,788955.0,186.25,4236,60703,14.33
P00064,家居限量款,2025-01-09,63.15,0.31,29.85,68.74,71.83,46.78,D,2408525.12,1691.38,1424,40128,28.18
P00065,女装基础款,2025-01-08,35.9,64.83,21.29,16.99,61.39,40.08,D,60514.44,992.04,61,1617,26.51
P00066,美妆限量款,2025-01-21,32.28,53.3,13.4,36.53,70.72,41.25,D,4032757.54,7025.71,574,5476,9.54
P00067,家电升级版,2025-01-20,96.89,71.88,91.72,95.73,8.41,72.93,B,725195.71,218.63,3317,18459,5.56
P00068,家居升级版,2025-01-26,31.01,50.75,71.57,84.68,8.27,49.26,D,2558722.42,1763.42,1451,21526,14.84
P00069,玩具特惠款,2025-01-17,32.38,46.5,26.31,77.7,66.87,49.95,D,226223.2,79.6,2842,74869,26.34
P00070,家居特惠款,2025-01-23,45.24,43.56,22.52,4.28,80.37,39.19,D,12732483.4,3271.45,3892,72248,18.56
P00071,玩具升级版,2025-01-19,42.0,69.57,16.69,20.91,39.33,37.7,D,25457251.16,5777.86,4406,80423,18.25
P00072,家电特惠款,2025-01-20,26.5,82.37,34.57,68.75,12.04,44.85,D,2515193.98,4206.01,598,17430,29.15
P00073,图书限量款,2025-01-04,92.87,31.36,57.75,1.09,70.13,50.64,C,8708414.56,2784.02,3128,82360,26.33
P00074,女装基础款,2025-01-27,66.69,19.47,75.75,52.07,44.09,51.61,C,21974807.75,7386.49,2975,56492,18.99
P00075,男装升级版,2025-01-02,99.61,42.45,79.35,9.09,56.03,57.31,C,8715812.27,2068.79,4213,38092,9.04
P00076,女装限量款,2025-01-30,70.96,60.4,12.2,86.05,29.45,51.81,C,11560534.92,5768.73,2004,19468,9.71
P00077,玩具升级版,2025-01-26,98.78,16.82,82.95,16.16,54.94,53.93,C,5587232.49,2360.47,2367,18407,7.78
P00078,男装限量款,2025-01-25,5.77,42.22,6.51,50.57,2.58,21.53,D,12470859.71,3615.79,3449,64973,18.84
P00079,玩具升级版,2025-01-19,90.27,71.2,67.91,23.08,1.68,50.83,C,154001.8,73.16,2105,61259,29.1
P00080,男装限量款,2025-01-20,65.15,32.1,67.53,39.74,3.4,41.58,D,6231509.75,3680.75,1693,17017,10.05
P00081,家电基础款,2025-01-01,46.78,92.4,47.46,83.15,7.47,55.45,C,1194558.03,945.81,1263,23115,18.3
P00082,美妆特惠款,2025-01-05,71.77,18.82,7.06,3.22,57.15,31.6,D,9276937.08,2374.44,3907,67643,17.31
P00083,女装升级版,2025-01-10,63.61,37.42,59.93,2.55,60.73,44.85,D,35195741.28,7588.56,4638,30915,6.67
P00084,女装限量款,2025-01-22,51.78,71.41,54.18,45.76,59.84,56.59,C,6243804.96,4312.02,1448,18540,12.8
P00085,美妆限量款,2025-01-14,45.51,22.81,14.17,80.12,8.34,34.19,D,4784770.95,1624.71,2945,76957,26.13
P00086,家居限量款,2025-01-19,98.59,77.93,33.67,89.25,96.89,79.27,B,9078477.2,6072.56,1495,44560,29.81
P00087,家居升级版,2025-01-25,61.99,25.74,35.12,68.72,76.47,53.61,C,37250187.92,9844.13,3784,112073,29.62
P00088,图书特惠款,2025-01-23,31.89,18.39,20.69,97.34,60.34,45.73,D,11733319.86,6809.82,1723,48632,28.23
P00089,美妆特惠款,2025-01-30,61.41,41.3,54.88,93.99,11.19,52.55,C,12546627.52,5581.24,2248,28966,12.89
P00090,美妆升级版,2025-01-22,51.44,53.73,93.84,77.54,59.59,67.23,C,196493.85,107.55,1827,23687,12.96
P00091,女装基础款,2025-01-11,63.13,53.64,86.63,91.17,86.92,76.3,B,11540185.02,4207.14,2743,13759,5.02
P00092,家电特惠款,2025-01-16,85.56,85.3,42.24,66.25,76.6,71.19,B,37341865.28,8924.92,4184,50605,12.09
P00093,女装限量款,2025-01-06,93.78,41.48,46.26,12.75,9.27,40.71,D,18586743.35,5832.05,3187,11033,3.46
P00094,家居特惠款,2025-01-07,23.85,72.12,57.29,77.77,78.69,61.94,C,5269358.08,9686.32,544,8606,15.82
P00095,食品限量款,2025-01-21,10.41,24.72,42.84,16.94,89.78,36.94,D,8416633.2,4755.16,1770,38547,21.78
P00096,食品升级版,2025-01-08,69.82,9.66,57.64,85.54,11.53,46.84,D,10705576.86,3222.63,3322,13767,4.14
P00097,男装限量款,2025-01-03,85.84,6.28,89.97,70.22,68.98,64.26,C,1426392.11,468.13,3047,28992,9.51
P00098,家电升级版,2025-01-06,17.98,14.98,46.51,37.99,52.07,33.91,D,16283207.16,4445.32,3663,29092,7.94
P00099,男装特惠款,2025-01-18,28.5,86.32,32.66,18.62,79.15,49.05,D,1572938.94,1623.26,969,20806,21.47
P00100,男装限量款,2025-01-11,48.91,51.63,95.82,98.92,61.36,71.33,B,4551772.58,7767.53,586,14589,24.9
P00101,家电升级版,2025-01-20,70.02,20.83,44.29,97.38,20.54,50.61,C,24788339.24,6571.67,3772,77428,20.53
P00102,女装升级版,2025-01-03,60.13,44.38,79.98,58.63,74.63,63.55,C,17937168.24,5396.26,3324,61127,18.39
P00103,家电升级版,2025-01-10,55.29,84.7,96.96,72.02,26.44,67.08,C,3365967.68,1317.92,2554,11907,4.66
P00104,玩具特惠款,2025-01-05,5.1,23.36,22.79,89.23,13.23,30.74,D,35122984.98,9477.33,3706,89481,24.14
P00105,家电基础款,2025-01-04,87.36,53.58,48.41,20.15,13.25,44.55,D,840340.98,5187.29,162,4611,28.46
P00106,男装基础款,2025-01-09,85.03,44.23,99.88,13.16,89.29,66.32,C,17253136.32,4339.32,3976,56461,14.2
P00107,家电基础款,2025-01-27,20.72,51.01,43.48,4.75,58.13,35.62,D,9749223.61,5779.03,1687,13948,8.27
P00108,玩具升级版,2025-01-20,1.33,84.04,71.62,92.76,32.63,56.48,C,1497901.63,402.77,3719,40052,10.77
P00109,玩具基础款,2025-01-03,89.75,80.45,89.02,64.73,32.11,71.21,B,13413131.13,2978.71,4503,14929,3.32
P00110,图书升级版,2025-01-15,55.73,54.37,56.47,61.97,82.35,62.18,C,4054019.2,9049.15,448,5730,12.79
P00111,图书升级版,2025-01-27,48.82,81.98,84.71,61.61,53.38,66.1,C,3656389.24,830.62,4402,70847,16.09
P00112,食品限量款,2025-01-10,43.35,25.7,83.15,94.76,51.59,59.71,C,3377104.43,3194.99,1057,3965,3.75
P00113,女装特惠款,2025-01-04,33.56,50.29,3.0,68.85,19.77,35.09,D,25269205.5,5104.89,4950,117649,23.77
P00114,女装限量款,2025-01-16,44.06,69.4,40.22,89.22,39.76,56.53,C,15924643.56,8716.28,1827,16277,8.91
P00115,家居基础款,2025-01-12,89.54,61.83,52.21,84.17,39.88,65.53,C,793115.42,5252.42,151,4155,27.52
P00116,家居特惠款,2025-01-09,81.55,65.48,16.07,92.15,3.85,51.82,C,27188589.6,8417.52,3230,95230,29.48
P00117,图书基础款,2025-01-11,68.5,25.39,76.58,6.73,28.97,41.23,D,33684152.18,9361.91,3598,29446,8.18
P00118,女装限量款,2025-01-04,89.4,35.34,39.14,27.82,38.69,46.08,D,1112254.24,1051.28,1058,7823,7.39
P00119,家居基础款,2025-01-01,92.24,94.24,35.13,67.22,73.23,72.41,B,20557380.61,4223.83,4867,18788,3.86
P00120,家电升级版,2025-01-21,7.31,25.14,77.11,95.78,80.63,57.19,C,27381736.2,6052.55,4524,54933,12.14
P00121,玩具基础款,2025-01-15,33.38,65.32,6.64,33.13,35.02,34.7,D,4342365.72,3987.48,1089,1644,1.51
P00122,玩具限量款,2025-01-06,77.06,98.53,35.08,49.28,88.91,69.77,C,23152843.0,4821.5,4802,62254,12.96
P00123,图书升级版,2025-01-06,43.81,1.89,94.79,100.0,67.64,61.63,C,10967245.52,4297.51,2552,16889,6.62
P00124,图书特惠款,2025-01-03,11.18,10.83,54.49,43.69,3.23,24.68,D,24573826.35,6858.45,3583,23503,6.56
P00125,玩具限量款,2025-01-15,64.68,49.49,41.38,77.72,33.74,53.4,C,287171.18,852.14,337,1952,5.79
P00126,家电基础款,2025-01-26,45.77,1.83,48.54,29.15,40.21,33.1,D,1848066.56,627.74,2944,82490,28.02
P00127,玩具特惠款,2025-01-26,40.74,88.77,59.52,1.01,60.37,50.08,C,24774179.25,6555.75,3779,58761,15.55
P00128,美妆特惠款,2025-01-13,17.79,45.82,20.92,58.34,11.41,30.86,D,7597010.25,3643.65,2085,55073,26.41
P00129,男装基础款,2025-01-11,67.53,94.06,15.21,18.73,32.86,45.68,D,5617946.68,1592.84,3527,72005,20.42
P00130,女装特惠款,2025-01-21,83.06,49.34,41.93,7.01,51.34,46.54,D,14208509.56,5231.41,2716,52308,19.26
P00131,玩具升级版,2025-01-30,97.91,3.21,18.02,10.7,71.7,40.31,D,30539316.72,6227.43,4904,114595,23.37
P00132,玩具升级版,2025-01-30,60.91,66.1,89.49,82.74,32.28,66.3,C,1535854.84,2469.22,622,4219,6.78
P00133,男装升级版,2025-01-17,46.68,82.98,94.59,44.75,44.07,62.61,C,15685454.08,7742.08,2026,2766,1.37
P00134,食品特惠款,2025-01-21,17.77,34.16,85.22,96.68,65.96,59.96,C,8696806.09,5198.33,1673,31132,18.61
P00135,家居特惠款,2025-01-26,80.55,55.75,31.79,69.17,54.23,58.3,C,438929.45,893.95,491,2344,4.77
P00136,图书升级版,2025-01-04,86.77,70.07,51.29,7.85,80.2,59.24,C,681340.5,300.15,2270,34856,15.36
P00137,玩具升级版,2025-01-09,37.2,85.96,60.03,15.27,47.24,49.14,D,933246.72,2862.72,326,4628,14.2
P00138,家电限量款,2025-01-29,74.65,56.95,61.46,30.48,1.94,45.1,D,22991891.4,9701.22,2370,13399,5.65
P00139,家电基础款,2025-01-08,63.14,99.74,0.42,77.06,92.16,66.5,C,24427634.3,8809.1,2773,5086,1.83
P00140,图书基础款,2025-01-04,21.76,70.93,23.97,3.33,26.91,29.38,D,3576040.02,720.54,4963,87733,17.68
P00141,女装限量款,2025-01-20,39.17,36.33,5.02,96.56,12.91,38.0,D,1161036.24,2126.44,546,10369,18.99
P00142,美妆限量款,2025-01-18,20.24,75.2,72.99,87.13,53.79,61.87,C,7926417.0,1957.14,4050,47151,11.64
P00143,男装升级版,2025-01-27,55.02,87.58,92.79,64.21,88.83,77.69,B,6275736.0,7272.0,863,7841,9.09
P00144,男装基础款,2025-01-15,52.95,91.37,32.34,25.38,25.57,45.52,D,17084662.03,6311.29,2707,79380,29.32
P00145,家居限量款,2025-01-03,35.16,20.53,24.79,35.83,63.77,36.02,D,6954161.58,4743.63,1466,7162,4.89
P00146,家居基础款,2025-01-01,94.53,48.25,62.92,55.1,43.38,60.84,C,12973433.04,4142.22,3132,6031,1.93
P00147,食品特惠款,2025-01-07,24.8,8.95,37.87,35.33,40.3,29.45,D,480218.5,211.55,2270,37263,16.42
P00148,男装限量款,2025-01-06,46.39,35.16,0.35,59.93,88.42,46.05,D,9594161.72,3531.16,2717,23948,8.81
P00149,男装特惠款,2025-01-21,60.32,51.12,53.19,54.54,80.11,59.86,C,3140856.6,4193.4,749,4933,6.59
P00150,女装特惠款,2025-01-07,32.77,71.64,14.98,97.29,68.94,57.12,C,42638948.14,9108.94,4681,122704,26.21
P00151,女装基础款,2025-01-01,98.75,18.23,55.95,13.87,90.71,55.5,C,6151219.26,7296.82,843,17856,21.18
P00152,食品限量款,2025-01-15,30.02,86.14,3.38,52.17,87.43,51.83,C,59357.2,40.6,1462,39320,26.89
P00153,家居特惠款,2025-01-16,65.95,7.61,66.27,83.58,73.54,59.39,C,5814197.04,2733.52,2127,34855,16.39
P00154,食品限量款,2025-01-10,39.35,92.41,61.21,12.09,74.38,55.89,C,10304719.84,2440.72,4222,49569,11.74
P00155,图书限量款,2025-01-15,89.32,91.1,44.12,92.81,25.81,68.63,C,12268837.4,7711.4,1591,39003,24.51
P00156,女装限量款,2025-01-10,8.37,66.33,68.41,35.73,38.48,43.46,D,471064.0,2676.5,176,3403,19.34
P00157,家居特惠款,2025-01-01,11.53,97.0,1.02,38.26,93.83,48.33,D,23217318.48,9833.68,2361,68539,29.03
P00158,图书升级版,2025-01-22,20.09,39.94,45.81,61.83,90.32,51.6,C,9902616.05,8881.27,1115,23871,21.41
P00159,玩具基础款,2025-01-08,17.2,81.62,40.52,0.2,47.4,37.39,D,6849016.36,1672.94,4094,9620,2.35
P00160,男装限量款,2025-01-11,53.19,98.3,50.15,71.45,39.12,62.44,C,62382.93,57.39,1087,21526,19.8
P00161,家居升级版,2025-01-02,50.04,60.76,35.5,0.76,29.01,35.21,D,32536424.5,6798.25,4786,9022,1.89
P00162,家居升级版,2025-01-04,25.71,98.26,2.76,63.81,88.6,55.83,C,12845913.94,4703.74,2731,65022,23.81
P00163,食品特惠款,2025-01-27,91.07,98.06,73.27,53.31,59.3,75.0,B,17109572.8,8765.15,1952,37861,19.4
P00164,家电限量款,2025-01-19,43.24,23.34,90.24,70.09,30.48,51.48,C,1954363.52,7431.04,263,6328,24.06
P00165,女装限量款,2025-01-21,94.03,90.57,66.52,71.82,96.62,83.91,B,19229612.22,7826.46,2457,64156,26.11
P00166,玩具特惠款,2025-01-04,96.94,74.73,77.76,21.26,93.24,72.79,B,34606952.38,8301.02,4169,59444,14.26
P00167,图书特惠款,2025-01-30,83.37,43.28,65.46,29.63,90.14,62.38,C,305069.76,284.58,1072,22014,20.54
P00168,男装特惠款,2025-01-24,54.96,77.63,49.75,33.05,7.91,44.66,D,14808372.66,6994.98,2117,38926,18.39
P00169,女装升级版,2025-01-26,89.1,40.23,64.72,32.15,1.23,45.49,D,2766894.9,762.23,3630,79380,21.87
P00170,美妆升级版,2025-01-01,21.69,31.13,61.65,60.86,50.7,45.21,D,885746.96,240.17,3688,38416,10.42
P00171,玩具限量款,2025-01-16,1.1,11.65,85.01,25.87,33.46,31.42,D,8848947.24,2149.89,4116,123003,29.88
P00172,男装特惠款,2025-01-09,6.83,39.45,12.61,70.85,66.11,39.17,D,10135161.72,3901.14,2598,26287,10.12
P00173,图书升级版,2025-01-04,12.38,3.3,83.19,32.57,87.75,43.84,D,27182325.71,5762.63,4717,121686,25.8
P00174,女装限量款,2025-01-17,99.25,85.29,68.2,31.6,83.87,73.64,B,2173042.83,9922.57,219,4342,19.83
P00175,美妆基础款,2025-01-13,73.57,32.93,26.87,1.52,89.61,44.9,D,5925396.0,1362.16,4350,67388,15.49
P00176,男装升级版,2025-01-27,17.89,85.22,18.23,29.58,76.05,45.39,D,17420009.48,6788.78,2566,9380,3.66
P00177,家电基础款,2025-01-27,88.98,28.23,68.08,8.18,53.0,49.29,D,1060695.16,5411.71,196,4143,21.14
P00178,男装升级版,2025-01-24,38.11,37.41,31.59,21.81,61.01,37.99,D,1874537.61,585.61,3201,69596,21.74
P00179,女装基础款,2025-01-29,6.36,57.16,10.8,71.74,47.19,38.65,D,5694103.56,2029.26,2806,57065,20.34
P00180,家居升级版,2025-01-24,37.14,94.88,49.02,73.92,66.02,64.2,C,5922353.58,8932.66,663,14845,22.39
P00181,美妆基础款,2025-01-02,40.6,91.63,15.25,99.54,86.31,66.67,C,26251265.76,8612.62,3048,90530,29.7
P00182,家居基础款,2025-01-29,6.67,71.3,24.0,87.77,56.8,49.31,D,10888338.21,2383.09,4569,32314,7.07
P00183,美妆升级版,2025-01-25,67.06,6.76,74.82,82.43,55.6,57.33,C,605062.77,248.69,2433,71166,29.25
P00184,家居限量款,2025-01-12,80.61,90.01,80.81,48.22,78.65,75.66,B,6222179.88,8726.76,713,15066,21.13
P00185,玩具基础款,2025-01-02,24.26,88.51,52.6,74.46,68.37,61.64,C,10254353.76,4521.32,2268,65061,28.69
P00186,食品基础款,2025-01-26,25.62,74.93,47.81,49.3,65.57,52.65,C,5081807.45,3146.63,1615,15688,9.71
P00187,男装升级版,2025-01-20,25.83,61.33,79.79,84.25,53.02,60.84,C,40237107.5,8470.97,4750,64035,13.48
P00188,美妆基础款,2025-01-11,0.88,67.08,79.29,88.48,48.87,56.92,C,7811796.41,3831.19,2039,15357,7.53
P00189,美妆特惠款,2025-01-08,5.98,86.04,30.64,45.11,76.27,48.81,D,9218469.6,2704.95,3408,25549,7.5
P00190,家电限量款,2025-01-12,19.47,45.95,57.51,53.12,98.99,55.01,C,6874059.08,8465.59,812,20727,25.53
P00191,家居特惠款,2025-01-11,30.33,40.1,34.58,24.23,13.22,28.49,D,107144.24,52.24,2051,34007,16.58
P00192,家居升级版,2025-01-03,13.39,32.72,32.47,75.43,59.38,42.68,D,5041566.27,3998.07,1261,18808,14.92
P00193,美妆基础款,2025-01-21,6.81,48.83,45.32,52.18,31.81,36.99,D,1262662.38,2863.18,441,11597,26.3
P00194,图书升级版,2025-01-23,52.57,62.55,2.75,54.36,69.28,48.3,D,5632700.64,1575.14,3576,100870,28.21
P00195,食品限量款,2025-01-06,23.18,56.62,24.82,59.12,13.7,35.49,D,1244468.96,4261.88,292,7251,24.83
P00196,女装升级版,2025-01-25,8.65,39.85,37.32,13.96,76.57,35.27,D,16209110.36,8790.19,1844,39234,21.28
P00197,男装基础款,2025-01-10,14.54,85.77,48.52,24.32,33.8,41.39,D,460290.6,1461.24,315,7578,24.06
P00198,家电基础款,2025-01-25,4.51,29.92,42.52,92.49,24.61,38.81,D,6259972.88,9427.67,664,6379,9.61
P00199,家电特惠款,2025-01-08,78.39,88.21,43.82,1.41,13.38,45.04,D,15142121.05,3291.05,4601,130850,28.44
P00200,女装升级版,2025-01-19,49.51,96.67,94.58,44.99,96.09,76.37,B,4837173.67,5644.31,857,2330,2.72
P00201,玩具基础款,2025-01-04,34.51,95.36,43.09,34.82,19.12,45.38,D,7145528.95,3029.05,2359,26343,11.17
P00202,图书基础款,2025-01-12,32.51,19.38,65.46,19.85,49.49,37.34,D,34541420.63,9378.61,3683,62178,16.88
P00203,食品特惠款,2025-01-17,50.12,17.25,96.03,90.16,24.61,55.63,C,891722.0,1714.85,520,3069,5.9
P00204,家电限量款,2025-01-13,71.12,50.24,69.2,26.74,99.45,63.35,C,5152246.61,1200.71,4291,21345,4.97
P00205,家电限量款,2025-01-04,52.05,26.28,37.65,93.11,78.75,57.57,C,15238625.94,4307.13,3538,33861,9.57
P00206,玩具特惠款,2025-01-30,55.16,16.05,38.57,68.63,12.38,38.16,D,5173855.57,1271.53,4069,39708,9.76
P00207,女装特惠款,2025-01-19,6.52,94.42,92.77,63.88,99.14,71.35,B,253142.98,1398.58,181,4535,25.06
P00208,男装基础款,2025-01-21,56.2,93.17,78.01,50.82,48.51,65.34,C,11487465.42,9256.62,1241,33561,27.04
P00209,图书特惠款,2025-01-15,14.62,33.84,90.75,40.49,75.6,51.06,C,38924111.8,8173.9,4762,79698,16.74
P00210,玩具升级版,2025-01-15,6.21,11.64,5.97,24.81,78.1,25.35,D,11945725.88,2441.89,4892,129356,26.44
P00211,图书限量款,2025-01-26,57.98,85.53,89.47,12.04,90.92,67.19,C,17524770.0,5940.6,2950,60088,20.37
P00212,女装基础款,2025-01-15,66.35,57.7,72.43,12.34,73.98,56.56,C,665901.27,2809.71,237,2220,9.37
P00213,美妆基础款,2025-01-23,55.35,70.23,23.86,98.29,47.84,59.11,C,33314556.17,8260.49,4033,13744,3.41
P00214,男装基础款,2025-01-22,92.76,89.44,77.85,47.46,37.14,68.93,C,3878921.36,6196.36,626,16102,25.72
P00215,食品升级版,2025-01-21,60.67,22.44,88.45,85.57,28.2,57.07,C,23109582.9,8083.1,2859,31572,11.04
